timestamp,btc_price,eth_price
2024-01-01,42211,2282
2024-01-02,45001,2358
2024-01-03,42838,2237
2024-01-04,44165,2268
2024-01-05,44162,2267
2024-01-06,43977,2263
2024-01-07,44122,2241
2024-01-08,46970,2320
2024-01-09,46139,2339
2024-01-10,46654,2385
2024-01-11,46400,2666
2024-01-12,42841,2576
2024-01-13,42843,2573
2024-01-14,41793,2489
2024-01-15,42513,2527
2024-01-16,43152,2570
2024-01-17,42735,2534
2024-01-18,41258,2466
2024-01-19,41648,2472
2024-01-20,41657,2471
2024-01-21,41712,2463
2024-01-22,39507,2225
2024-01-23,40064,2242
2024-01-24,40097,2232
2024-01-25,42933,2315
2024-01-26,41829,2267
2024-01-27,42137,2269
2024-01-28,42036,2270
2024-01-29,43288,2313
2024-01-30,42978,2343
2024-01-31,42581,2280
2024-02-01,43075,2312
